title,identifier,url,date,pages,thumb_url,views,color,per_text,pen_color
"Marion Stokes Journal (August 29, 1970)",marionstokesjournal1970-08-29,http://archive.org/details/marionstokesjournal1970-08-29,date:[1970-08-29],0,https://archive.org/download/marionstokesjournal1970-08-29/__ia_thumb.jpg,3,[239 235 219],26.3,undetermined
"Marion Stokes Journal (October 13, 1970)",marionstokesjournal1970-10-13,http://archive.org/details/marionstokesjournal1970-10-13,date:[1970-10-13],0,https://archive.org/download/marionstokesjournal1970-10-13/__ia_thumb.jpg,3,[235 224 201],24.2,undetermined
"Marion Stokes Journal (November 13, 1970)",marionstokesjournal1970-11-13,http://archive.org/details/marionstokesjournal1970-11-13,date:[1970-11-13],0,https://archive.org/download/marionstokesjournal1970-11-13/__ia_thumb.jpg,5,[241 241 233],12.6,undetermined
"Marion Stokes Journal (December 22, 1970)",marionstokesjournal1970-12-22,http://archive.org/details/marionstokesjournal1970-12-22,date:[1970-12-22],0,https://archive.org/download/marionstokesjournal1970-12-22/__ia_thumb.jpg,4,[240 235 212],24.4,undetermined
"Marion Stokes Journal (February 13, 1971)",marionstokesjournal1971-02-13,http://archive.org/details/marionstokesjournal1971-02-13,date:[1971-02-13],0,https://archive.org/download/marionstokesjournal1971-02-13/__ia_thumb.jpg,3,[242 238 224],8.2,undetermined
"Marion Stokes Journal (February 14, 1971)",marionstokesjournal1971-02-14,http://archive.org/details/marionstokesjournal1971-02-14,date:[1971-02-14],0,https://archive.org/download/marionstokesjournal1971-02-14/__ia_thumb.jpg,2,[244 238 226],8.6,undetermined
"Marion Stokes Journal (February 25, 1971)",marionstokesjournal1971-02-25,http://archive.org/details/marionstokesjournal1971-02-25,date:[1971-02-25],0,https://archive.org/download/marionstokesjournal1971-02-25/__ia_thumb.jpg,3,[240 239 228],14.4,undetermined
"Marion Stokes Journal (March 9, 1971)",marionstokesjournal1971-03-09,http://archive.org/details/marionstokesjournal1971-03-09,date:[1971-03-09],0,https://archive.org/download/marionstokesjournal1971-03-09/__ia_thumb.jpg,4,[215 193 158],10.7,undetermined
"Marion Stokes Journal (March 27, 1971)",marionstokesjournal1971-03-27,http://archive.org/details/marionstokesjournal1971-03-27,date:[1971-03-27],0,https://archive.org/download/marionstokesjournal1971-03-27/__ia_thumb.jpg,3,[243 240 227],9.4,undetermined
"Marion Stokes Journal (March 29, 1971)",marionstokesjournal1971-03-29,http://archive.org/details/marionstokesjournal1971-03-29,date:[1971-03-29],0,https://archive.org/download/marionstokesjournal1971-03-29/__ia_thumb.jpg,4,[245 242 231],5.8,undetermined
"Marion Stokes Journal (April 5, 1971)",marionstokesjournal1971-04-05,http://archive.org/details/marionstokesjournal1971-04-05,date:[1971-04-05],0,https://archive.org/download/marionstokesjournal1971-04-05/__ia_thumb.jpg,4,[240 238 226],12.3,undetermined
